Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
177,2025-03-03,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,577.8,579.1,558,564.9,32406,18398775.3,567.1,759,343,2025-03-03T14:59:47.770251,564.9,199,567.75,5717.78
178,2025-03-03,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,920,920,891,904.6,20644,18767072.8,915,1232,670,2025-03-03T14:59:17.569365,904.6,168,909.08,14985.83
179,2025-03-03,273,ICFC,ICFC Finance Limited,689,699,676,678,43171,29445073.1,675.8,910,473.2,2025-03-03T14:59:57.952661,678,357,682.05,8023.93
180,2025-03-03,338,PROFL,Progressive Finance Limited,634.7,645,615,618,39162,24413573.6,622.3,865,306,2025-03-03T14:59:40.039304,618,328,623.39,5290.74
181,2025-03-03,358,LBBL,Lumbini Bikas Bank Ltd.,480,481.3,463.1,466,35108,16518098.2,476.8,560,361,2025-03-03T14:59:47.165563,466,193,470.49,16886.34
182,2025-03-03,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,290,293.5,280,280.7,368757,105582097.7,288,349,149,2025-03-03T14:59:50.243542,280.7,1099,286.31,10801.34
183,2025-03-03,371,MDB,Miteri Development Bank Limited,733,735,707,710,45729,32852000.5,725,843.5,388.2,2025-03-03T14:59:58.242541,710,375,718.4,8641.41
184,2025-03-03,393,HLI,Himalayan Life Insurance Limited,455,470,455,462.9,293745,136421804.5,451.9,607,364.1,2025-03-03T14:59:47.95144,462.9,1286,464.42,42324.05
185,2025-03-03,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,720,727,711,713,26734,19251327,711,988,514.5,2025-03-03T14:59:49.119163,713,245,720.1,9966.06
186,2025-03-03,397,ADBL,Agricultural Development Bank Limited,314,315,306.5,309,77760,24204318,309,428.4,220.5,2025-03-03T14:59:07.875797,309,498,311.26,42812.64
187,2025-03-03,450,CORBL,Corporate Development Bank Limited,1981.4,2059,1981,2020,9064,18111838.4,2020,2842.3,405,2025-03-03T14:59:59.78497,2020,130,1998.21,10605
188,2025-03-03,459,KSBBL,Kamana Sewa Bikas Bank Limited,459.7,479.9,456.2,461.7,83210,38881027.8,469,564.8,337,2025-03-03T14:59:57.360298,461.7,382,467.26,16209.58
189,2025-03-03,469,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,162.5,163,159.3,163,26484,4274925.8,164.9,222,122.8,2025-03-03T14:58:31.428042,163,27,161.41,29841.29
190,2025-03-03,471,MPFL,Multipurpose Finance Company  Limited,739,740,715,719,40388,29400410.2,725,936.9,344.1,2025-03-03T14:59:48.83278,719,257,727.94,4387.34
191,2025-03-03,472,SADBL,Shangrila Development Bank Ltd.,450.8,450.8,426,427.2,79912,34533626.5,442,497,287.3,2025-03-03T14:59:29.217496,427.2,236,432.14,15192.33
192,2025-03-03,473,SHINE,Shine Resunga Development Bank Ltd.,455,456,437.1,441,66009,29370593.9,450,625,354,2025-03-03T14:59:10.675791,441,354,444.94,21501.84
193,2025-03-03,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,829.2,840,790.1,810,64535,52542128.4,824,1004,577,2025-03-03T14:59:58.999717,810,388,814.16,10893.46
194,2025-03-03,545,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,1014,1028,1000,1001.1,23504,23718174.1,1025,1250,564,2025-03-03T14:59:45.45858,1001.1,200,1009.11,6718.43
195,2025-03-03,559,NLG,NLG Insurance Company Ltd.,964.9,970,934,948.8,147056,139251278.5,951.1,1382,732,2025-03-03T14:59:59.813646,948.8,552,946.92,23745.33
196,2025-03-03,561,SINDU,Sindhu Bikash Bank Ltd,1295.7,1397.3,1220.1,1370,217974,278243478.4,1270.3,1397.3,318,2025-03-03T14:59:59.790011,1370,1595,1276.49,7637.15
197,2025-03-03,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,875.8,875.8,856,870,27223,23550969.2,858.9,1105,789,2025-03-03T14:59:58.180991,870,245,865.11,37519.81
198,2025-03-03,587,RLFL,Reliance Finance Ltd.,641.1,641.1,605.8,613.5,101603,62926798.8,629,838,346.8,2025-03-03T14:59:58.793042,613.5,705,619.33,6880.11
199,2025-03-03,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1745,1795,1727,1760,6111,10719953.6,1780,1960,768.4,2025-03-03T14:59:58.409638,1760,131,1754.2,3941.22
200,2025-03-03,610,RIDI,Ridi Power Company Limited,247,251,242,243.8,154900,38163505.4,247,311,154.5,2025-03-03T14:59:05.519367,243.8,585,246.37,5664.33
201,2025-03-03,634,RBCLPO,Rastriya Beema Company Limited Promoter Share,12020,12300,12020,12100,260,3157135,12250,16270,9893.1,2025-03-03T14:58:50.190518,12100,11,12142.82,21493.18
202,2025-03-03,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,1098,1099,1050.3,1052,15893,16933995.6,1079,1447,557,2025-03-03T14:59:53.520575,1052,175,1065.5,3364.49
203,2025-03-03,697,API,Api Power Company Ltd.,310,310.9,300,300.2,401433,121703527.5,305.5,390,162,2025-03-03T14:59:59.965096,300.2,1417,303.17,18239.94
